Designator,Mid X,Mid Y,Rotation,Layer
C1,177.5,-83.2,0.0,top
C10,180.2,-86.8,90.0,bottom
C12,164.6,-82.9,90.0,top
C2,170.3,-70.3,0.0,top
C3,179.0,-72.3,90.0,top
C4,166.9,-82.1,180.0,top
C5,174.1,-83.2,180.0,top
C6,166.9,-83.7,180.0,top
C8,179.8,-80.4,180.0,top
C9,179.8,-74.6,0.0,top
D2,179.7875,-69.9,180.0,top
D3,176.7,-71.2,0.0,top
J1,164.1,-79.843,0.0,top
J2,172.0,-87.0,0.0,top
R1,180.2,-75.625,270.0,bottom
R3,180.5,-88.675,90.0,top
R7,180.6,-72.3,270.0,top
R8,173.5,-70.3,180.0,top
SW1,177.5,-87.0,90.0,top
U1,171.365,-79.5,90.0,bottom
U2,172.0,-77.0,180.0,top
U3,165.5,-87.0,180.0,top
Y1,180.0,-77.5,90.0,top
